代码,名称,推荐,评分,RSI,信号,止损参考,量比,MA状态
603127,昭衍新药,⭐ 强烈买入,4,42.55,RSI=42.55 中性区间 | MA5 上穿 MA10 金叉 | 价格>30.78 MA20 多头 | MACD 金叉 | 放量2.77倍站稳MA20,止损：26.16（-18.5%）,2.77,above
002578,闽发铝业,✅ 买入,3,47.73,RSI=47.73 中性区间 | MA5 上穿 MA10 金叉 | 价格>4.13 MA20 多头 | MACD 金叉 | 缩量0.64倍，观望,止损：3.61（-15.3%）,0.64,above
600488,津药药业,✅ 买入,3,66.29,RSI=66.29 中性区间 | MA5 上穿 MA10 金叉 | 价格>4.14 MA20 多头 | 放量4.35倍站稳MA20,止损：3.77（-20.8%）,4.35,above
002361,神剑股份,✅ 买入,3,62.75,RSI=62.75 中性区间 | MA5 上穿 MA10 金叉 | 价格>12.50 MA20 多头 | 放量1.91倍站稳MA20,止损：10.77（-28.2%）,1.91,above
000008,神州高铁,✅ 买入,3,52.88,RSI=52.88 中性区间 | 价格>2.84 MA20 多头 | MACD 金叉 | 放量3.24倍站稳MA20,止损：2.59（-12.8%）,3.24,above
000592,平潭发展,✅ 买入,3,48.15,RSI=48.15 中性区间 | 价格>11.18 MA20 多头 | MACD 金叉 | 放量1.72倍站稳MA20,止损：9.85（-15.2%）,1.72,above
603288,海天味业,✅ 买入,3,66.59,RSI=66.59 中性区间 | MA5 上穿 MA10 金叉 | 价格>37.52 MA20 多头 | 放量1.61倍站稳MA20,止损：35.55（-11.9%）,1.61,above
000631,顺发恒能,🟡 谨慎买入,2,43.7,RSI=43.7 中性区间 | MA5 上穿 MA10 金叉 | 价格>3.85 MA20 多头,止损：3.63（-6.4%）,0.83,above
002634,棒杰股份,🟡 谨慎买入,2,58.82,RSI=58.82 中性区间 | 价格>6.90 MA20 多头 | 放量1.84倍站稳MA20,止损：6.19（-23.9%）,1.84,above
300834,星辉环材,🟡 谨慎买入,2,47.69,RSI=47.69 中性区间 | 价格>24.35 MA20 多头 | 放量1.57倍站稳MA20,止损：21.98（-12.7%）,1.57,above
002821,凯莱英,🟡 谨慎买入,2,48.56,RSI=48.56 中性区间 | MA5 上穿 MA10 金叉 | 价格>97.67 MA20 多头,止损：92.72（-7.9%）,1.28,above
000720,新能泰山,🟡 谨慎买入,2,58.22,RSI=58.22 中性区间 | 价格>4.27 MA20 多头 | 放量5.99倍站稳MA20,止损：4.02（-19.0%）,5.99,above
600276,恒瑞医药,🟡 谨慎买入,2,47.41,RSI=47.41 中性区间 | 价格>54.83 MA20 多头 | MACD 金叉,止损：50.08（-10.2%）,1.21,above
002475,立讯精密,🟡 谨慎买入,2,47.73,RSI=47.73 中性区间 | MA5 上穿 MA10 金叉 | 价格>48.55 MA20 多头,止损：44.95（-7.8%）,0.92,above
600233,圆通速递,🟡 谨慎买入,2,58.65,RSI=58.65 中性区间 | MA5 上穿 MA10 金叉 | 价格>19.74 MA20 多头 | 缩量0.47倍，观望,止损：18.82（-8.4%）,0.47,above
600487,亨通光电,🟡 谨慎买入,2,57.11,RSI=57.11 中性区间 | 价格>47.42 MA20 多头 | MACD 金叉,止损：43.04（-20.1%）,0.96,above
002491,通鼎互联,🟡 谨慎买入,2,48.16,RSI=48.16 中性区间 | 价格>11.12 MA20 多头 | 放量1.35倍站稳MA20,止损：10.05（-13.7%）,1.35,above
000001,平安银行,🟡 谨慎买入,2,56.25,RSI=56.25 中性区间 | MA5 上穿 MA10 金叉 | 价格>10.87 MA20 多头 | 缩量0.56倍，观望,止损：10.55（-4.0%）,0.56,above
600104,上汽集团,🟡 谨慎买入,2,57.89,RSI=57.89 中性区间 | MA5 上穿 MA10 金叉 | 价格>14.27 MA20 多头,止损：13.66（-5.0%）,0.8,above
600887,伊利股份,🟡 谨慎买入,2,50.0,RSI=50.0 中性区间 | 价格>26.24 MA20 多头 | MACD 金叉,止损：24.93（-5.6%）,0.86,above
